lAboutText1	~1~ ~2~ (~3~ bits)
lDialogArgumentsLabelHelp	(coloque cada par‚metro entre aspas, se necess·rio)
lDialogArgumentsPlaceholdersCheckLabel	Par‚metros atuais com marcadores expandidos
lDialogArgumentsPlaceholdersCurrentExample	x:\pasta_contendo\˙ltima_pasta
lDialogArgumentsPlaceholdersSelectedExample	x:\pasta_de_trabalho\arquivo_ou_pasta_selecionada
lDialogAscending	Ascendente
lDialogBrowseButton	Procurar
lDialogBrowseOrSelectApplication	Procure por um arquivo execut·vel ou`nselecione um aplicativo em execuÁ„o na lista
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alteraÁıes?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogChangeHotkeyAlternative	Esta È a tecla de atalho do menu Alternativo.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyAny	Qualquer uma
lDialogChangeHotkeyLeftAnyRight	Cada modificador de teclado pode ser vinculado a apenas a tecla "Esquerda", apenas a tecla "Direita" ou "Qualquer uma" delas.
lDialogChangeHotkeyModifierAndNone	Modificadores como "Alt" ou "Control" n„o podem ser selecionados sozinhos. Selecione tambÈm uma tecla de atalho do mouse ou teclado na seÁ„o ‡ direita.
lDialogChangeHotkeyMouseCheckLButton	VocÍ n„o pode atribuir o "Bot„o Esquerdo do Mouse" sem um modificador`n(como teclas ~1~, ~2~, ~3~ ou ~4~). lOptionsMouseCheckLButton renomeado
lDialogChangeHotkeyPopup	Esta È a tecla de atalho do menu popup.`n`nDeseja gerenciar "~1~" em "~2~"?
lDialogChangeHotkeyTitle	Alterar atalho - ~1~ ~2~
lDialogChangeHotstringDefaultOptionsPrompt	Selecione as opÁıes padr„o para as novas strings de substituiÁ„o criadas (<a href="~1~">Ajuda</a>)
lDialogChangeHotstringReload	AlteraÁıes nas opÁıes desta string de substituiÁ„o ir„o necessitar que o ~1~ seja automaticamente reiniciado apÛs salvar os favoritos.
lDialogChangeHotstringTitle	Alterar string de substituiÁ„o - ~1~
lDialogChangeHotstringTitleDefaultOptions	OpÁıes padr„o de strings de substituiÁ„o - ~1~
lDialogCloseAllWindows	Fechar Todas as Janelas
lDialogCloseAllWindowsClose	Fechar janelas selecionadas
lDialogCloseAllWindowsDetail	TÌtulo da janela:`n~1~`n`nCaminho do processo da janela:`n~2~`n`nVocÍ deseja FECHAR esta janela?
lDialogCloseAllWindowsHeader	TÌtulo da janela
lDialogCloseAllWindowsIntro	Marque as janelas para serem fechadas e clique em "Fechar janelas selecionadas". DÍ um duplo clique ou pressione Enter para fechar uma janela ou veja seus detalhes.
lDialogCloseAllWindowsSelectAll	Marcar/desmarcar todas
lDialogCloseComputerControl	Fechar Central de Controle do Computador
lDialogCloseComputerControlDescription	Tenha total controle de como o computador ser· desligado:`n - Fazer Logoff, Desligar, Reiniciar, Desativar, forÁado ou n„o`n- Suspender ou Hibernar, imediatamente ou n„o, desabilitando eventos de despertar ou n„o`n- Desligar o monitor, Ativar modo de baixo consumo do monitor ou Iniciar a proteÁ„o de tela.
lDialogCloseComputerDisableWakeEvents	Desativar eventos de despertar
lDialogCloseComputerForce	ForÁar (pode causar perda de dados)
lDialogCloseComputerGo	Executar a aÁ„o selecionada
lDialogCloseComputerHibernate	Hibernar computador
lDialogCloseComputerHibernateDescription	Coloca o computador em modo de economia de energia, permitindo que ele reinicie rapidamente a operaÁ„o de energia total (similar ao modo de Suspens„o, mas com menor uso de energia). Ao iniciar novamente o PC, vocÍ estar· de volta ao ponto de onde parou (embora n„o t„o r·pido quanto Suspender). Hibernar È projetado para laptops e pode n„o estar disponÌvel para todos os PCs.
lDialogCloseComputerLogoff	Fazer logoff do usu·rio
lDialogCloseComputerLogoffDescription	Fecha todos os aplicativos e finaliza a sess„o do usu·rio atual.
lDialogCloseComputerMonitorLowPower	Colocar monitor no modo de baixo consumo
lDialogCloseComputerMonitorLowPowerDescription	Coloca o monitor do computador em modo de baixo consumo. O modo de baixo consumo È projetado para laptops e pode n„o estar disponÌvel em monitores de computadores desktop.
lDialogCloseComputerMonitorTurnOff	Desligar monitor
lDialogCloseComputerMonitorTurnOffDescription	Desliga o monitor do computador.
lDialogCloseComputerPowerDown	Desativar computador
lDialogCloseComputerPowerDownDescription	Fecha todos os aplicativos e desativa a energia do computador.
lDialogCloseComputerPrompt	Por favor, selecione uma opÁ„o...
lDialogCloseComputerRestart	Reiniciar computador
lDialogCloseComputerRestartDescription	Fecha todos os aplicativos e reinicia o computador como se o usu·rio tivesse desligado e ligado novamente.
lDialogCloseComputerShutdown	Desligar computador
lDialogCloseComputerShutdownDescription	Fecha todos os aplicativos em preparaÁ„o para o desligamento da energia do computador. Dependendo da configuraÁ„o do sistema, isto pode ser seguido pelo desligamento do sistema.
lDialogCloseComputerStartScreenSaver	Iniciar proteÁ„o de tela
lDialogCloseComputerStartScreenSaverDescription	Inicia a proteÁ„o de tela padr„o do sistema.
lDialogCloseComputerSuspend	Suspender computador
lDialogCloseComputerSuspendDescription	Coloca o computador em estado de economia de energia que permite-o rapidamente iniciar a operaÁ„o com energia total quando vocÍ desejar iniciar o trabalho novamente. O modo de suspens„o usa muita pouca energia, seu computador inicia mais r·pido, e vocÍ est· instantaneamente de volta ao ponto de onde parou.
lDialogCloseComputerSuspendImmediately	Suspender imediatamente (pode causar perda de dados)
lDialogContinue	Continuar
lDialogCopy	Copiar
lDialogCopyFavoritesTitle	Copiar Favoritos - ~1~ ~2~
lDialogCtrl	Controle
lDialogCtrlLeft	Ctrl Esquerdo
lDialogCtrlRight	Ctrl Direito
lDialogCtrlShort	Ctrl
lDialogDescending	Descendente
lDialogDialogBoxes	Caixas de di·logo
lDialogDropDown	suspenso
lDialogEdit	Editar
lDialogEditIcon	Editar Ìcone
lDialogEditIconPrompt	Edite o Ìcone no formato "arquivo de Ìcone,Ìndice" (por exemplo: "shell32.dll,2")
lDialogElevate	Execute o aplicativo com privilÈgios de Administrador
lDialogEndOfMenu	final do menu
lDialogErrorMoving	N„o foi possÌvel redimensionar o favorito:`n"~1~"
lDialogExtendedSearch	Pesquisa Estendida
lDialogExternalLocation	Local do arquivo de configuraÁıes do menu externo
lDialogExternalLocationIni	O arquivo de configuraÁıes do menu compartilhado deve ser um arquivo .ini
lDialogExternalLocationReadOnly	A localizaÁ„o do menu compartilhado existente n„o pode ser alterada. Se o arquivo para este menu compartilhado foi renomeado ou movido, primeiramente remova este menu compartilhado e crie um novo com o arquivo movido ou renomeado.
lDialogExternalMenuAdd	Adicionar menu(s) compartilhado(s) selecionado(s)
lDialogExternalMenuAdded	Menu compartilhado adicionado.
lDialogExternalMenuAddFromCatalogue	Adicionar menus compartilhados do cat·logo - ~1~ ~2~
lDialogExternalMenuAddHeader	Nome do Menu Compartilhado|Arquivos de ConfiguraÁıes do Menu Compartilhado
lDialogExternalMenuAddNotFromCatalogue	Adicionar outro menu compartilhado
lDialogExternalMenuName	Nome do menu compartilhado
lDialogExternalMenuNotExist	Este menu compartilhado n„o existe. VocÍ deseja criar um novo menu compartilhado vazio neste local?`n`n~1~
lDialogExternalMenuOpen	Abrir arquivo do menu compartilhado?
lDialogExternalMenusAdded	~1~ menus compartilhados adicionados.
lDialogExternalMenuSelectFromCatalogue	Selecione um ou mais menus compartilhados para adicionar ao seu menu e clique ~1~
lDialogExternalSource	Disco hospedando o menu compartilhado
lDialogExternalSourceCloud	Disco na nuvem (ex.: Dropbox, sincronizaÁ„o baseada na hora UTC do PC)
lDialogExternalSourceNetwork	Disco de rede (sincronizaÁ„o baseada na hora do arquivo)
lDialogExternalStartingNumber	N˙mero do primeiro favorito
lDialogExternalTip	Clique duplo em uma linha para ver as informaÁıes do menu Compartilhado.
lDialogExternalTypes	Pessoal (menu compartilhado em diferentes computadores com o mesmo usu·rio)|Colaborativo (menu em um disco compartilhado com uma equipe ou grupo de trabalho)|Centralizado (menu em um disco compartilhado mantido pelo administrador do menu)
lDialogExternalTypesLabel	Tipo de Menu Compartilhado
lDialogExternalTypesTitle	Tipo de menu compartilhado
lDialogExternalWriteAccessMessage	Mensagem de acesso de escrita do menu compartilhado
lDialogExternalWriteAccessUsers	Usu·rios com acesso de escrita neste menu compartilhado
lDialogFavoriteDisabled	Desativar este favorito
lDialogFavoriteDisabledGroupMember	Desativar este item no grupo
lDialogFavoriteDoesNotExistEdit	VocÍ deseja editar este favorito?
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~"~2~ n„o existe ou n„o est· disponÌvel.`n`nSe este favorito est· em uma unidade de rede, tente novamente depois da autenticaÁ„o de rede.
lDialogFavoriteDoesNotExistTitle	O favorito n„o existe - ~1~
lDialogFavoriteDropdownEmpty	Por favor, escolha um item na lista ~1~ ~2~.
lDialogFavoriteExternalHelpWeb	Veja <a href="~1~">Ajuda para menus externos</a> para maiores informaÁıes.
lDialogFavoriteExternalSaveNote	Nota: Valores nesta aba s„o salvos no menu compartilhado assim que vocÍ clicar em "~1~".
lDialogFavoriteFolderLive	Pasta Ativa (menu incluindo subpastas)
lDialogFavoriteFolderLiveColumns	N˙mero de itens por coluna (0 para sem quebra de coluna)
lDialogFavoriteFolderLiveDocuments	Incluir documentos
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensıes (separe as extensıes com espaÁos, por exemplo: "bak bk")
lDialogFavoriteFolderLiveHideExtensions	Extensıes de arquivos
lDialogFavoriteFolderLiveHideIcons	Õcones
lDialogFavoriteFolderLiveHideInMenu	Ocultar nos menus
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	N˙mero de nÌveis de subpastas para incluir no menu da Pasta Ativa
lDialogFavoriteFolderLiveShowHidden	Oculto
lDialogFavoriteFolderLiveShowItems	Exibir itens
lDialogFavoriteFolderLiveShowSystem	Sistema
lDialogFavoriteFolderLiveType	Pasta Ativa
lDialogFavoriteHidden	Ocultar este favorito
lDialogFavoriteLaunchWithDoesNotExistTitle	Iniciar com o aplicativo n„o existe - ~1~
lDialogFavoriteLocationEmpty	O local est· vazio. Por favor, escolha um local.
lDialogFavoriteMenuPosition	Inserir o favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito est· vazio. Por favor, escolha um nome.
lDialogFavoriteNameNoSeparator	O nome deste item n„o pode incluir o caractere reservado "~1~".
lDialogFavoriteNameNotAllowed	Favoritos do tipo "~1~" n„o s„o permitidos em grupos. Por favor, selecione outro menu pai na aba "OpÁıes do Menu".
lDialogFavoriteNameNotNew	O nome "~1~" j· est· em uso neste menu. Por favor, escolha um novo nome.
lDialogFavoriteParentMenu	Menu pai do favorito
lDialogFavoriteParentMenuMove	Mover favorito para este menu
lDialogFavoriteRemoveExternalPrompt	Remover o submenu externo "~1~"`n(arquivo ini de configuraÁıes externas N√O ser· excluÌdo)?
lDialogFavoriteRemoveGroupPrompt	Remover o grupo "~1~"`n(itens no grupo tambÈm ser„o excluÌdos)?
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO seu conte˙do (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoriteSelectType	Selecione o tipo de favorito para adicionar.`n`nNa prÛxima janela, vocÍ dar· ao seu favorito:`n- um nome`n- um conte˙do (dependendo do tipo)`n- v·rias configuraÁıes (Ìcone, atalho, etc.)`n`nEscolha o tipo do novo favorito e clique "~1~".
lDialogFavoriteShortNameLabel	Nome curto para o menu
lDialogFavoritesMenuPosition	Inserir os favoritos antes deste item
lDialogFavoriteSnippetEmpty	O conte˙do est· vazio. Por favor, entre o conte˙do recortado.
lDialogFavoriteSnippetFixedFont	Fonte com largura fixa
lDialogFavoriteSnippetFontSize	Tamanho da fonte
lDialogFavoriteSnippetHelpNoProcess	Insira ``n para final da linha e ``t para tabulaÁ„o. Insira ```` (aspas invertidas duplas) para aspas invertidas.
lDialogFavoriteSnippetHelpProcess	Use Ctrl+Tab para inserir tabulaÁıes e Enter para inserir finais de linhas.
lDialogFavoriteSnippetHelpWeb	Veja as p·ginas de ajuda <a href="~1~">Recortes</a> e <a href="~2~">EspaÁos Reservados</a>.
lDialogFavoriteSnippetProcessEOLTab	Automaticamente codificar finais de linhas e tabulaÁıes
lDialogFavoriteSnippetPromptLabel	Perguntar antes de ~1~ o recorte
lDialogFavoriteSnippetPromptLabelLaunching	iniciar
lDialogFavoriteSnippetPromptLabelPasting	colar
lDialogFavoriteSnippetPromptNoPipe	O caractere de barra vertical (|) n„o È permitido no aviso de recorte.
lDialogFavoriteSnippetSendMode	Enviar recorte para aplicativo atual em:
lDialogFavoriteSnippetSendModeMacro	Modo macro
lDialogFavoriteSnippetSendModeText	Modo texto
lDialogFavoritesParentMenuCopy	Copiar ~1~ favoritos para este menu
lDialogFavoritesParentMenuMove	Mover favoritos do ~1~ para este menu
lDialogFavoriteType	Tipo do Favorito
lDialogFavoriteTypeNoteApplication	Nota: H· um novo tipo de aplicativo do Windows que n„o usa mais os arquivos execut·veis tradicionais. Sendo chamados de "Aplicativos do Windows", eles est„o prÈ-instalados no Windows 8 e 10 ou foram baixados a partir da Loja do Windows. VocÍ pode adicion·-los usando o novo tipo de favorito "Aplicativo do Windows".
lDialogFavoriteTypeNoteWindowsApps	Nota: "Aplicativos do Windows" È um novo tipo de aplicativo do Windows que n„o usa mais os arquivos execut·veis tradicionais. Eles est„o prÈ-instalados no Windows 8 e 10 ou foram baixados a partir da LOja do Windows. Se vocÍ deseja adicionar arquivos execut·veis tradicionais (.exe, .com, .bat ou outros scripts), vocÍ pode adicion·-los usando o tipo de favorito "Aplicativo".
lDialogFavoriteTypesHelp1	Crie um atalho para uma "Pasta" usada com frequÍncia.`n`nDefina o nome do menu do favorito, caminho e v·rias opÁıes de menu.`n`nAs OpÁıes de Pasta Ativa permitem atualizar o conte˙do do menu com o conte˙do atual da pasta.`n`nConfiguraÁıes avanÁadas permitem definir a posiÁ„o da janela e opÁıes do gerenciador de arquivos.
lDialogFavoriteTypesHelp13	Crie um "Recorte". Defina o tÌtulo do recorte para o menu, seu conte˙do e v·rias opÁıes de menu.`n`nNas opÁıes avanÁadas, escolha "Modo texto" para colar recortes de texto como faria pela ¡rea de TransferÍncia ou escolha "Modo macro" para enviar recortes como faria ao pressionar teclas (incluindo teclas especiais, veja a Ajuda).
lDialogFavoriteTypesHelp14	Crie um "Menu compartilhado" para usar favoritos em v·rios sistemas a partir do mesmo arquivo de configuraÁıes em um local externo. Defina o nome do menu compartilhado para o menu, o local do arquivo de configuraÁıes externo e v·rias opÁıes.`n`nMenus compartilhados podem ser usados no modo "Pessoal", "Colaborativo" ou "Centralizado". Um Cat·logo de Menus Compartilhados pode ser definido na aba "Geral" em OpÁıes para facilitar a adiÁ„o de menus compartilhados.`n`nMenus compartilhados podem ser editados como menus regulares. Somente usu·rios selecionados podem editar menus compartilhados Centralizados. Consulte as Perguntas Frequentes (FAQ) no site para mais ajuda. 
lDialogFavoriteTypesHelp15	Cria um "Separador de Texto" para inserir cabeÁalhos, dando mais clareza ao seu menu.`n`nPor padr„o, separadores de texto n„o possuem Ìcone, mas vocÍ pode selecionar um na aba "OpÁıes do Menu".
lDialogFavoriteTypesHelp16	Crie um atalho para um "Aplicativo do Windows".`n`nSelecione o aplicativo do Windows da lista de aplicativos instalados em seu sistema.`n`nEsta lista È atualizada na inicializaÁ„o do QAP e pode ser atualizada sob demanda.
lDialogFavoriteTypesHelp2	Crie um atalho para um "Documento".`n`nDefina o nome do menu do favorito, caminho e v·rias opÁıes de menu.`n`nConfiguraÁıes avanÁadas permitem escolher um aplicativo especÌfico para exibir o documento e adicionar par‚metros adicionais.
lDialogFavoriteTypesHelp3	Crie um atalho para um "Aplicativo" (programa, arquivo de lote ou script).`n`nProcure o arquivo execut·vel ou selecione um dos programas em execuÁ„o. Defina v·rias opÁıes de menu.`n`nConfiguraÁıes avanÁadas permitem selecionar uma pasta "Iniciar em" e adicionar par‚metros.
lDialogFavoriteTypesHelp4	Crie um atalho para uma das 50 "Pastas Especiais" predefinidas do Windows, como: Bibliotecas, Imagens, Lixeira, Downloads, etc.`n`nDefina v·rias opÁıes do menu. ConfiguraÁıes avanÁadas permitem definir a posiÁ„o da janela e opÁıes do gerenciador de arquivos.
lDialogFavoriteTypesHelp5	Crie um "Link" para uma p·gina da web.`n`nDefina o nome do menu, endereÁo da p·gina web (URL) e v·rias opÁıes de menu.`n`nConfiguraÁıes avanÁadas permitem selecionar um navegador especÌfico para abrir o link e adicionar par‚metros opcionais.
lDialogFavoriteTypesHelp6	Crie um atalho para um "Site FTP".`n`nDefina o nome do menu, endereÁo do site FTP (URL), nomede login, senha e v·rias opÁıes de menu.`n`nConfiguraÁıes avanÁadas permitem selecionar um programa FTP especÌfico para acessar este site, adicionar par‚metros opcionais, definir a posiÁ„o da janela e codificar o nome e senha de login.`n`nNota: a senha N√O È criptografada quando enviada pela Internet.
lDialogFavoriteTypesHelp7	Insira em qualquer lugar do seu menu "Recursos do Quick Access Popup" como: ~1~, ~2~, ~3~, ~4~, ~5~, etc. Consulte as descriÁıes e links de ajuda para maiores informaÁıes.
lDialogFavoriteTypesHelp8	Re˙na favoritos relacionados em um "Submenu".`n`nDÍ um nome para seu submenu e selecione as opÁıes de menu.`n`nAdicione favoritos em seu submenu. Mova um favorito para outro submenu ou grupo usando o bot„o "Mover" ou a aba "OpÁıes de Menu" da janela "Editar Favorito".
lDialogFavoriteTypesHelp9	Inicie um "Grupo" de favoritos, todos em um atalho!`n`nDÍ um nome para seu grupo e defina v·rias opÁıes para seu grupo.`n`nAdicione favoritos em seu grupo. Mova um favorito de outro grupo ou submenu usando o bot„o "Mover" ou a aba "OpÁıes de Menu" da janela "Editar Favorito".`n`nConfiguraÁıes avanÁadas permitem controlar a velocidade de restauraÁ„o inserindo um atraso entre cada favorito para restaurar.
lDialogFavoriteTypesLabels	Pasta|Documento|Aplicativo|Pasta Especial|Link (URL)|Site FTP|Recurso do QAP|Submenu|Grupo||||Recorte|Menu Compartilhado|Separador de Texto|App do Windows
lDialogFavoriteTypesLocationLabels	Pasta (caminho)|Documento (caminho e nome do arquivo)|Aplicativo (caminho e nome do arquivo)||Link (URL)|Site FTP (URL)|||||||Conte˙do|Arquivo de configuraÁıes externo (caminho)|Separador de Texto|ID do App do Windows App (AUMID)
lDialogFavoriteTypesShortNames	Pasta|Documento|Aplicativo|Especial|Link|FTP|QAP|Menu|Grupo|Separador|Quebra de Coluna|..|Recorte|Compartilhado|Texto|Aplicativo do Windows
lDialogFavoriteWorkingDirNotFoundPrompt	A configuraÁ„o avanÁada "Iniciar em" do favorito "~1~" n„o foi encontrada:`n~2~
lDialogFavoriteWorkingDirNotFoundTitle	Par‚metro 'Iniciar em' n„o encontrado - ~1~
lDialogFileExtension	Extens„o de Arquivo
lDialogFileLabel	Documento
lDialogFileName	File Nome
lDialogFileSize	File Tamanho
lDialogFolderLabel	Pasta
lDialogGetWebPageTitle	Obter tÌtulo
lDialogGetWinInfo	Para identificar a janela da qual deseja obter tÌtulo, classe ou nome do processo, clique na janela de destino com a tecla de atalho do menu QAP [~1~].
lDialogGetWInInfo2Clippoard	TÌtulo da janela:`n"~1~"`n`nClasse:`n"~2~"`n`nNome do processo:`n"~3~"`n`nCopiar informaÁıes para a ¡rea de TransferÍncia?
lDialogHotkeyInvisibleKeys	<a id="~1~">barra de espaÁo</a>, <a id="~2~">tab</a>, <a id="~3~">enter</a>, <a id="~4~">escape</a>`nor <a id="~5~">tecla menu (aplicativo)</a>
lDialogHotkeys	Teclas de Atalho
lDialogHotkeysHelpHeader	Atalho|AÁ„o
lDialogHotkeysManageAboutHotstrings	Strings de substituiÁ„o atualmente ativas em ~1~
lDialogHotkeysManageAboutShortcuts	Atalhos atualmente ativos em ~1~
lDialogHotkeysManageAlternative	Alternativo
lDialogHotkeysManageAlternativeMenu	Menu Alternativo
lDialogHotkeysManageIntro	Clique duplo na linha do favorito para alterar o ~1~.
lDialogHotkeysManageListHeader	Menu|Nome do Favorito|Tipo|~1~|Local do Favorito ou Conte˙do
lDialogHotkeysManageListHeaderHotstrings	String de substituiÁ„o|OpÁıes
lDialogHotkeysManageListSeeAllFavorites	Ver todos os favoritos
lDialogHotkeysManageListSeeShortHotkeyNames	Ver nomes abreviados de teclas de atalho e opÁıes de string de substituiÁ„o
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageShortcutHotstringLower	atalho|string de substituiÁ„o
lDialogHotkeysManageTitle	Gerenciar Teclas de Atalho - ~1~ ~2~
lDialogHotstring	Strings de SubstituiÁ„o
lDialogHotstringCaseSensitive	Diferenciar mai˙sculas/min˙sculas
lDialogHotstringExpandInsideWords	Expandir dentro de outras palavras
lDialogHotstringIndicator	st
lDialogHotstringKeepHotstring	Manter abreviaÁ„o de string de substituiÁ„o
lDialogHotstringNotWaitEndingKey	N„o aguardar tecla de conclus„o
lDialogHotstrings	Strings de SubstituiÁ„o
lDialogHotstringsDescription	Exibe uma caixa de di·logo com uma vis„o global de suas strings de substituiÁ„o (pequenas sequÍncias de chaves que automaticamente disparam favoritos do QAP). VocÍ pode classificar os favoritos clicando no cabeÁalho.`n`nClique duplo em uma string de substituiÁ„o para edit·-la.`n`nClique na caixa de marcaÁ„o "Ver todos os favoritos" para atribuir strings de substituiÁ„o para outros favoritos.
lDialogHotstringTriggerAbbreviation	Disparador (abreviaÁ„o):
lDialogHotstringTriggerOptions	String de substituiÁ„o (disparador e opÁıes)
lDialogIcon	Õcone do Favorito
lDialogIconsManage	Õcones
lDialogIconsManageAbout	Selecione novos Ìcones para seus favoritos ou defina o Ìcone padr„o para o tipo. N„o esqueÁa de salvar as alteraÁıes na janela "Personalizar".
lDialogIconsManageCurrent	Õcone atual
lDialogIconsManageDefault	Õcone padr„o
lDialogIconsManageDescription	Exibe uma caixa de di·logo listando todos os favoritos no seu menu do QAP com o seu Ìcone atual e o Ìcone padr„o deste tipo de favorito. Os favoritos s„o agrupados em submenus, na ordem em que aparecem em seu menu.`n`nClique nos botıes para selecionar um Ìcone personalizado para um favorito ou para redefinir um favorito para seu Ìcone padr„o.
